Subject,Start Date,Start Time,End Date,End Time,Description,Location
DAT202/Forel/02,2015-03-17,14:15,2015-03-17,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-03-18,10:15,2015-03-18,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-03-18,12:15,2015-03-18,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-03-18,14:15,2015-03-18,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/labøv/04 uke 12-19,2015-03-19,10:15,2015-03-19,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-03-19,12:15,2015-03-19,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-03-20,14:15,2015-03-20,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/labøv/03 uke 12-19,2015-03-23,12:15,2015-03-23,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-03-23,14:15,2015-03-23,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-03-24,08:15,2015-03-24,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-03-24,12:15,2015-03-24,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-03-24,14:15,2015-03-24,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-03-25,10:15,2015-03-25,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-03-25,12:15,2015-03-25,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-03-25,14:15,2015-03-25,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/labøv/04 uke 12-19,2015-03-26,10:15,2015-03-26,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-03-26,12:15,2015-03-26,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-03-27,14:15,2015-03-27,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT202/labøv/01,2015-04-07,08:15,2015-04-07,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-04-07,12:15,2015-04-07,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-04-07,14:15,2015-04-07,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-04-08,10:15,2015-04-08,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-04-08,12:15,2015-04-08,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-04-08,14:15,2015-04-08,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/labøv/04 uke 12-19,2015-04-09,10:15,2015-04-09,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-04-09,12:15,2015-04-09,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/03 uke 12-19,2015-04-13,12:15,2015-04-13,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-04-13,14:15,2015-04-13,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-04-14,08:15,2015-04-14,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-04-14,12:15,2015-04-14,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-04-14,14:15,2015-04-14,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-04-15,10:15,2015-04-15,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-04-15,12:15,2015-04-15,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-04-15,14:15,2015-04-15,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/labøv/04 uke 12-19,2015-04-16,10:15,2015-04-16,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-04-16,12:15,2015-04-16,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-04-17,14:15,2015-04-17,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/labøv/03 uke 12-19,2015-04-20,12:15,2015-04-20,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-04-20,14:15,2015-04-20,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-04-21,08:15,2015-04-21,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-04-21,12:15,2015-04-21,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-04-21,14:15,2015-04-21,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-04-22,10:15,2015-04-22,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-04-22,14:15,2015-04-22,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/labøv/04 uke 12-19,2015-04-23,10:15,2015-04-23,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-04-23,12:15,2015-04-23,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
